miRNA,Gene
hsa-miR-200c-3p,MPRIP
hsa-miR-200c-3p,RPS6KB1
hsa-miR-200c-3p,PRKAR1A
hsa-miR-200c-3p,NPC1
hsa-miR-200c-3p,DTNA
hsa-miR-200c-3p,PMAIP1
hsa-miR-200c-3p,MEX3D
hsa-miR-200c-3p,SYDE1
hsa-miR-200c-3p,YWHAQ
hsa-miR-200c-3p,PUM2
hsa-miR-200c-3p,CDC42EP3
hsa-miR-200c-3p,MAP4K3
hsa-miR-200c-3p,MCFD2
hsa-miR-200c-3p,ZEB2
hsa-miR-200c-3p,RND3
hsa-miR-200c-3p,ARL5A
hsa-miR-200c-3p,FIGN
hsa-miR-200c-3p,FN1
hsa-miR-200c-3p,MYCN
hsa-miR-200c-3p,NRBP1
hsa-miR-200c-3p,PPM1B
hsa-miR-200c-3p,MAP4K4
hsa-miR-200c-3p,CERS6
hsa-miR-200c-3p,PIKFYVE
hsa-miR-200c-3p,NAPB
hsa-miR-200c-3p,ZNF217
hsa-miR-200c-3p,MAPRE1
hsa-miR-200c-3p,NCOA3
hsa-miR-200c-3p,DNAJC5
hsa-miR-200c-3p,HSPA13
hsa-miR-200c-3p,NRIP1
hsa-miR-200c-3p,SYNJ1
hsa-miR-200c-3p,BRWD1
hsa-miR-200c-3p,CRKL
hsa-miR-200c-3p,CCDC117
hsa-miR-200c-3p,MIEF1
hsa-miR-200c-3p,SLC4A7
hsa-miR-200c-3p,RHOA
hsa-miR-200c-3p,WDR82
hsa-miR-200c-3p,DCBLD2
hsa-miR-200c-3p,FSTL1
hsa-miR-200c-3p,AMOTL2
hsa-miR-200c-3p,SSR3
hsa-miR-200c-3p,ITPR1
hsa-miR-200c-3p,PPP4R2
hsa-miR-200c-3p,PCNP
hsa-miR-200c-3p,TSC22D2
hsa-miR-200c-3p,MBNL1
hsa-miR-200c-3p,SERPINI1
hsa-miR-200c-3p,FNDC3B
hsa-miR-200c-3p,ATP11B
hsa-miR-200c-3p,KDR
hsa-miR-200c-3p,HNRNPD
hsa-miR-200c-3p,OTUD4
hsa-miR-200c-3p,FBXW7
hsa-miR-200c-3p,KLF3
hsa-miR-200c-3p,SRP72
hsa-miR-200c-3p,SMARCAD1
hsa-miR-200c-3p,CTNND2
hsa-miR-200c-3p,IL6ST
hsa-miR-200c-3p,NREP
hsa-miR-200c-3p,LOX
hsa-miR-200c-3p,PPP2CA
hsa-miR-200c-3p,GNPDA1
hsa-miR-200c-3p,DUSP1
hsa-miR-200c-3p,HNRNPH1
hsa-miR-200c-3p,MARCHF6
hsa-miR-200c-3p,MAP1B
hsa-miR-200c-3p,PAM
hsa-miR-200c-3p,MATR3
hsa-miR-200c-3p,PAIP2
hsa-miR-200c-3p,C6orf62
hsa-miR-200c-3p,SYNCRIP
hsa-miR-200c-3p,OSTM1
hsa-miR-200c-3p,CITED2
hsa-miR-200c-3p,E2F3
hsa-miR-200c-3p,UHRF1BP1
hsa-miR-200c-3p,NFYA
hsa-miR-200c-3p,PTP4A1
hsa-miR-200c-3p,AL135905.2
hsa-miR-200c-3p,MARCKS
hsa-miR-200c-3p,IGF2R
hsa-miR-200c-3p,QKI
hsa-miR-200c-3p,POLR1F
hsa-miR-200c-3p,DPY19L1
hsa-miR-200c-3p,YWHAG
hsa-miR-200c-3p,SMURF1
hsa-miR-200c-3p,GIGYF1
hsa-miR-200c-3p,KDM7A
hsa-miR-200c-3p,ANLN
hsa-miR-200c-3p,PTPN12
hsa-miR-200c-3p,CASD1
hsa-miR-200c-3p,DNAJB9
hsa-miR-200c-3p,CALU
hsa-miR-200c-3p,MFHAS1
hsa-miR-200c-3p,BPNT2
hsa-miR-200c-3p,UBE2W
hsa-miR-200c-3p,MMP16
hsa-miR-200c-3p,RBM12B
hsa-miR-200c-3p,TP53INP1
hsa-miR-200c-3p,CYRIB
hsa-miR-200c-3p,SULF1
hsa-miR-200c-3p,ZFHX4
hsa-miR-200c-3p,OXR1
hsa-miR-200c-3p,NFIB
hsa-miR-200c-3p,TLN1
hsa-miR-200c-3p,ZBTB5
hsa-miR-200c-3p,UBQLN1
hsa-miR-200c-3p,DIRAS2
hsa-miR-200c-3p,TMEM245
hsa-miR-200c-3p,SURF4
hsa-miR-200c-3p,VLDLR
hsa-miR-200c-3p,RIC1
hsa-miR-200c-3p,RECK
hsa-miR-200c-3p,ANP32B
hsa-miR-200c-3p,UGCG
hsa-miR-200c-3p,PBX3
hsa-miR-200c-3p,RPS6KA3
hsa-miR-200c-3p,IDS
hsa-miR-200c-3p,AC244197.3
hsa-miR-200c-3p,DDX3X
hsa-miR-200c-3p,CDK16
hsa-miR-200c-3p,MSN
hsa-miR-200c-3p,XIAP
hsa-miR-200c-3p,DDX3Y
hsa-miR-204-5p,NOTCH2
hsa-miR-204-5p,SHC1
hsa-miR-204-5p,TPRG1L
hsa-miR-204-5p,DNAJB4
hsa-miR-204-5p,B4GAT1
hsa-miR-204-5p,M6PR
hsa-miR-204-5p,CORO1C
hsa-miR-204-5p,PPP1CC
hsa-miR-204-5p,HOXC8
hsa-miR-204-5p,FRS2
hsa-miR-204-5p,LAMP1
hsa-miR-204-5p,MIDEAS
hsa-miR-204-5p,TMOD3
hsa-miR-204-5p,ZFHX3
hsa-miR-204-5p,CBFB
hsa-miR-204-5p,ANKFY1
hsa-miR-204-5p,WSB1
hsa-miR-204-5p,ZBTB7A
hsa-miR-204-5p,DNAJB1
hsa-miR-204-5p,FAM168B
hsa-miR-204-5p,ZNF638
hsa-miR-204-5p,SOWAHC
hsa-miR-204-5p,SERINC3
hsa-miR-204-5p,RAB22A
hsa-miR-204-5p,CPOX
hsa-miR-204-5p,SSR3
hsa-miR-204-5p,EDEM1
hsa-miR-204-5p,MBNL1
hsa-miR-204-5p,PPM1K
hsa-miR-204-5p,MIER3
hsa-miR-204-5p,NR3C1
hsa-miR-204-5p,TFAP2A
hsa-miR-204-5p,THBS2
hsa-miR-204-5p,CREB5
hsa-miR-204-5p,YWHAZ
hsa-miR-204-5p,RAB14
hsa-miR-204-5p,ACSL4
hsa-miR-204-5p,RAP2C
hsa-miR-204-5p,MMGT1
hsa-miR-204-5p,SLITRK4
hsa-miR-204-5p,OGT
hsa-miR-205-5p,PPP1R15B
hsa-miR-205-5p,KIF1B
hsa-miR-205-5p,CSF1
hsa-miR-205-5p,LAMC1
hsa-miR-205-5p,CENPF
hsa-miR-205-5p,BAMBI
hsa-miR-205-5p,CCNJ
hsa-miR-205-5p,PICALM
hsa-miR-205-5p,DDX6
hsa-miR-205-5p,PTPRJ
hsa-miR-205-5p,RTN3
hsa-miR-205-5p,ERBB3
hsa-miR-205-5p,TXNRD1
hsa-miR-205-5p,TSC22D1
hsa-miR-205-5p,CFL2
hsa-miR-205-5p,VTI1B
hsa-miR-205-5p,MIDEAS
hsa-miR-205-5p,CDC42BPB
hsa-miR-205-5p,PNN
hsa-miR-205-5p,ZCCHC14
hsa-miR-205-5p,COX4I1
hsa-miR-205-5p,MED1
hsa-miR-205-5p,MMD
hsa-miR-205-5p,SEPTIN4
hsa-miR-205-5p,DDX5
hsa-miR-205-5p,RARA
hsa-miR-205-5p,CLTC
hsa-miR-205-5p,RNF213
hsa-miR-205-5p,TLK1
hsa-miR-205-5p,TRAK2
hsa-miR-205-5p,DUSP7
hsa-miR-205-5p,PDS5A
hsa-miR-205-5p,ANKRD50
hsa-miR-205-5p,IL6ST
hsa-miR-205-5p,ENC1
hsa-miR-205-5p,PJA2
hsa-miR-205-5p,ETF1
hsa-miR-205-5p,TNPO1
hsa-miR-205-5p,SLC35A1
hsa-miR-205-5p,ACTB
hsa-miR-205-5p,NDUFA4
hsa-miR-205-5p,CALU
hsa-miR-205-5p,RAB11FIP1
hsa-miR-205-5p,LRATD2
hsa-miR-205-5p,HNRNPK
hsa-miR-205-5p,RAB14
hsa-miR-205-5p,NACC2
hsa-miR-205-5p,DNAJA1
hsa-miR-205-5p,DDX3X
hsa-miR-206,FUBP1
hsa-miR-206,CNN3
hsa-miR-206,ANP32E
hsa-miR-206,CERS2
hsa-miR-206,ADAR
hsa-miR-206,ASH1L
hsa-miR-206,TAGLN2
hsa-miR-206,NUCKS1
hsa-miR-206,CCSAP
hsa-miR-206,HNRNPU
hsa-miR-206,PGD
hsa-miR-206,SH3BGRL3
hsa-miR-206,MIER1
hsa-miR-206,CAPZA1
hsa-miR-206,POGK
hsa-miR-206,NRP1
hsa-miR-206,ZMYND11
hsa-miR-206,TNKS2
hsa-miR-206,BTAF1
hsa-miR-206,PDCD4
hsa-miR-206,TCF7L2
hsa-miR-206,THAP12
hsa-miR-206,CAPRIN1
hsa-miR-206,API5
hsa-miR-206,ARCN1
hsa-miR-206,CDK4
hsa-miR-206,CORO1C
hsa-miR-206,FRS2
hsa-miR-206,HSP90B1
hsa-miR-206,AKAP11
hsa-miR-206,FNDC3A
hsa-miR-206,ANXA2
hsa-miR-206,PPIB
hsa-miR-206,CHSY1
hsa-miR-206,SPRED1
hsa-miR-206,THBS1
hsa-miR-206,RNF111
hsa-miR-206,HACD3
hsa-miR-206,PHLPP2
hsa-miR-206,ZBTB4
hsa-miR-206,VAT1
hsa-miR-206,LRRC59
hsa-miR-206,MMD
hsa-miR-206,COIL
hsa-miR-206,SRSF1
hsa-miR-206,AC015813.2
hsa-miR-206,DDX5
hsa-miR-206,H3-3B
hsa-miR-206,CLTC
hsa-miR-206,RNF213
hsa-miR-206,ZNF24
hsa-miR-206,TGIF1
hsa-miR-206,AP3D1
hsa-miR-206,JUND
hsa-miR-206,TPM4
hsa-miR-206,YWHAQ
hsa-miR-206,CALM2
hsa-miR-206,STARD7
hsa-miR-206,HSPD1
hsa-miR-206,FN1
hsa-miR-206,NCL
hsa-miR-206,C2orf69
hsa-miR-206,PTMA
hsa-miR-206,SEPTIN2
hsa-miR-206,RRBP1
hsa-miR-206,BLCAP
hsa-miR-206,PREX1
hsa-miR-206,ZBTB21
hsa-miR-206,MAPK1
hsa-miR-206,DDX17
hsa-miR-206,TIMP3
hsa-miR-206,NUP50
hsa-miR-206,HIGD1A
hsa-miR-206,SMARCC1
hsa-miR-206,ARF4
hsa-miR-206,FOXP1
hsa-miR-206,TMCC1
hsa-miR-206,PFN2
hsa-miR-206,SERP1
hsa-miR-206,FNDC3B
hsa-miR-206,DHX15
hsa-miR-206,CLCN3
hsa-miR-206,IL6ST
hsa-miR-206,RNF44
hsa-miR-206,C5orf51
hsa-miR-206,KIF2A
hsa-miR-206,TNPO1
hsa-miR-206,CD164
hsa-miR-206,CITED2
hsa-miR-206,JARID2
hsa-miR-206,GJA1
hsa-miR-206,ACTB
hsa-miR-206,SRI
hsa-miR-206,GLCCI1
hsa-miR-206,ANKIB1
hsa-miR-206,RAB11FIP1
hsa-miR-206,SFRP1
hsa-miR-206,KAT6A
hsa-miR-206,BAG4
hsa-miR-206,RNF38
hsa-miR-206,HNRNPK
hsa-miR-206,ANP32B
hsa-miR-206,KLHL15
hsa-miR-206,G6PD
hsa-miR-206,TMSB4X
hsa-miR-208a-3p,MTF2
hsa-miR-208a-3p,FZD8
hsa-miR-208a-3p,EIF4G2
hsa-miR-208a-3p,ETS1
hsa-miR-208a-3p,SOX5
hsa-miR-208a-3p,TMBIM6
hsa-miR-208a-3p,FNDC3A
hsa-miR-208a-3p,FOXG1
hsa-miR-208a-3p,SECISBP2L
hsa-miR-208a-3p,CHD9
hsa-miR-208a-3p,RAB5C
hsa-miR-208a-3p,EIF4A2
hsa-miR-208a-3p,H2AZ1
hsa-miR-208a-3p,ZSWIM6
hsa-miR-208a-3p,APC
hsa-miR-208a-3p,NPM1
hsa-miR-208a-3p,SOX4
hsa-miR-208a-3p,QKI
hsa-miR-208a-3p,STC1
hsa-miR-208a-3p,UBE2V2
hsa-miR-208b-3p,MTF2
hsa-miR-208b-3p,FZD8
hsa-miR-208b-3p,EIF4G2
hsa-miR-208b-3p,ETS1
hsa-miR-208b-3p,SOX5
hsa-miR-208b-3p,TMBIM6
hsa-miR-208b-3p,FNDC3A
hsa-miR-208b-3p,FOXG1
hsa-miR-208b-3p,SECISBP2L
hsa-miR-208b-3p,RAB5C
hsa-miR-208b-3p,MED13
hsa-miR-208b-3p,EIF4A2
hsa-miR-208b-3p,H2AZ1
hsa-miR-208b-3p,ZSWIM6
hsa-miR-208b-3p,APC
hsa-miR-208b-3p,NPM1
hsa-miR-208b-3p,SOX4
hsa-miR-208b-3p,QKI
hsa-miR-208b-3p,STC1
hsa-miR-208b-3p,UBE2V2
hsa-miR-20a-5p,HP1BP3
hsa-miR-20a-5p,RSRP1
hsa-miR-20a-5p,RPA2
hsa-miR-20a-5p,MTF1
hsa-miR-20a-5p,FOXJ3
hsa-miR-20a-5p,EFCAB14
hsa-miR-20a-5p,JAK1
hsa-miR-20a-5p,ANKRD13C
hsa-miR-20a-5p,SSX2IP
hsa-miR-20a-5p,F3
hsa-miR-20a-5p,RHOC
hsa-miR-20a-5p,TXNIP
hsa-miR-20a-5p,ADAR
hsa-miR-20a-5p,DCAF8
hsa-miR-20a-5p,AL139011.2
hsa-miR-20a-5p,DEDD
hsa-miR-20a-5p,STX6
hsa-miR-20a-5p,NIBAN1
hsa-miR-20a-5p,PPP1R15B
hsa-miR-20a-5p,DSTYK
hsa-miR-20a-5p,SLC41A1
hsa-miR-20a-5p,YOD1
hsa-miR-20a-5p,LPGAT1
hsa-miR-20a-5p,ITPKB
hsa-miR-20a-5p,ARID4B
hsa-miR-20a-5p,AHCTF1
hsa-miR-20a-5p,SKI
hsa-miR-20a-5p,TPRG1L
hsa-miR-20a-5p,CAMTA1
hsa-miR-20a-5p,MFN2
hsa-miR-20a-5p,PRDM2
hsa-miR-20a-5p,NBL1
hsa-miR-20a-5p,OTUD3
hsa-miR-20a-5p,ELOA
hsa-miR-20a-5p,SESN2
hsa-miR-20a-5p,TXLNA
hsa-miR-20a-5p,KIAA1522
hsa-miR-20a-5p,CMPK1
hsa-miR-20a-5p,ZFYVE9
hsa-miR-20a-5p,PKN2
hsa-miR-20a-5p,FNBP1L
hsa-miR-20a-5p,MFSD14A
hsa-miR-20a-5p,AC118553.2
hsa-miR-20a-5p,S1PR1
hsa-miR-20a-5p,CELSR2
hsa-miR-20a-5p,VANGL1
hsa-miR-20a-5p,PTGFRN
hsa-miR-20a-5p,SUCO
hsa-miR-20a-5p,KLHL20
hsa-miR-20a-5p,ZBTB37
hsa-miR-20a-5p,RGL1
hsa-miR-20a-5p,BTG2
hsa-miR-20a-5p,FBXO28
hsa-miR-20a-5p,GPR137B
hsa-miR-20a-5p,ZBTB18
hsa-miR-20a-5p,FRMD4A
hsa-miR-20a-5p,PIP4K2A
hsa-miR-20a-5p,ACBD5
hsa-miR-20a-5p,ARHGAP12
hsa-miR-20a-5p,RUFY2
hsa-miR-20a-5p,SH3PXD2A
hsa-miR-20a-5p,PFKP
hsa-miR-20a-5p,OTUD1
hsa-miR-20a-5p,MASTL
hsa-miR-20a-5p,WAC
hsa-miR-20a-5p,BAMBI
hsa-miR-20a-5p,REEP3
hsa-miR-20a-5p,PTEN
hsa-miR-20a-5p,HECTD2
hsa-miR-20a-5p,TNKS2
hsa-miR-20a-5p,GBF1
hsa-miR-20a-5p,SLK
hsa-miR-20a-5p,SHOC2
hsa-miR-20a-5p,FAM160B1
hsa-miR-20a-5p,ZRANB1
hsa-miR-20a-5p,TOLLIP
hsa-miR-20a-5p,EIF4G2
hsa-miR-20a-5p,TSG101
hsa-miR-20a-5p,UEVLD
hsa-miR-20a-5p,FNBP4
hsa-miR-20a-5p,TNKS1BP1
hsa-miR-20a-5p,AHNAK
hsa-miR-20a-5p,ATL3
hsa-miR-20a-5p,SLC29A2
hsa-miR-20a-5p,KMT5B
hsa-miR-20a-5p,SHANK2
hsa-miR-20a-5p,LAMTOR1
hsa-miR-20a-5p,PGM2L1
hsa-miR-20a-5p,TMEM123
hsa-miR-20a-5p,NPAT
hsa-miR-20a-5p,HSPA8
hsa-miR-20a-5p,ZNF202
hsa-miR-20a-5p,IPO7
hsa-miR-20a-5p,WEE1
hsa-miR-20a-5p,PDE3B
hsa-miR-20a-5p,NAV2
hsa-miR-20a-5p,PRRG4
hsa-miR-20a-5p,CRY2
hsa-miR-20a-5p,ZFP91
hsa-miR-20a-5p,KDM2A
hsa-miR-20a-5p,PPP6R3
hsa-miR-20a-5p,CCND1
hsa-miR-20a-5p,EMSY
hsa-miR-20a-5p,TSKU
hsa-miR-20a-5p,DDIAS
hsa-miR-20a-5p,ZC3H12C
hsa-miR-20a-5p,PAFAH1B2
hsa-miR-20a-5p,TBCEL
hsa-miR-20a-5p,M6PR
hsa-miR-20a-5p,CAPRIN2
hsa-miR-20a-5p,DENND5B
hsa-miR-20a-5p,LIMA1
hsa-miR-20a-5p,ANKRD52
hsa-miR-20a-5p,GNS
hsa-miR-20a-5p,ARL1
hsa-miR-20a-5p,GIT2
hsa-miR-20a-5p,TBX3
hsa-miR-20a-5p,TAOK3
hsa-miR-20a-5p,UBC
hsa-miR-20a-5p,WNK1
hsa-miR-20a-5p,ADIPOR2
hsa-miR-20a-5p,TSPAN9
hsa-miR-20a-5p,CCND2
hsa-miR-20a-5p,FOXJ2
hsa-miR-20a-5p,FGD4
hsa-miR-20a-5p,ANO6
hsa-miR-20a-5p,TMBIM6
hsa-miR-20a-5p,DAZAP2
hsa-miR-20a-5p,GDF11
hsa-miR-20a-5p,RAB5B
hsa-miR-20a-5p,ERBB3
hsa-miR-20a-5p,HMGA2
hsa-miR-20a-5p,FRS2
hsa-miR-20a-5p,RAB21
hsa-miR-20a-5p,ELK3
hsa-miR-20a-5p,ULK1
hsa-miR-20a-5p,SACS
hsa-miR-20a-5p,KATNAL1
hsa-miR-20a-5p,KPNA3
hsa-miR-20a-5p,FBXL3
hsa-miR-20a-5p,LRCH1
hsa-miR-20a-5p,LAMP1
hsa-miR-20a-5p,EGLN3
hsa-miR-20a-5p,CFL2
hsa-miR-20a-5p,FOXA1
hsa-miR-20a-5p,KLHL28
hsa-miR-20a-5p,NIN
hsa-miR-20a-5p,ZFYVE26
hsa-miR-20a-5p,MAP3K9
hsa-miR-20a-5p,BTBD7
hsa-miR-20a-5p,ATG2B
hsa-miR-20a-5p,BCL2L2
hsa-miR-20a-5p,IRF9
hsa-miR-20a-5p,BRMS1L
hsa-miR-20a-5p,FRMD6
hsa-miR-20a-5p,STYX
hsa-miR-20a-5p,PPM1A
hsa-miR-20a-5p,HIF1A
hsa-miR-20a-5p,SUSD6
hsa-miR-20a-5p,SMOC1
hsa-miR-20a-5p,TTC9
hsa-miR-20a-5p,BNIP2
hsa-miR-20a-5p,SEMA7A
hsa-miR-20a-5p,SCAMP2
hsa-miR-20a-5p,FAM219B
hsa-miR-20a-5p,SPRED1
hsa-miR-20a-5p,CTDSPL2
hsa-miR-20a-5p,RAB8B
hsa-miR-20a-5p,USP3
hsa-miR-20a-5p,SMAD6
hsa-miR-20a-5p,KIF23
hsa-miR-20a-5p,MORF4L1
hsa-miR-20a-5p,FURIN
hsa-miR-20a-5p,UNKL
hsa-miR-20a-5p,PKD1
hsa-miR-20a-5p,USP31
hsa-miR-20a-5p,NETO2
hsa-miR-20a-5p,AKTIP
hsa-miR-20a-5p,CMTR2
hsa-miR-20a-5p,PHLPP2
hsa-miR-20a-5p,MBTPS1
hsa-miR-20a-5p,FBXO31
hsa-miR-20a-5p,CAPN15
hsa-miR-20a-5p,TNRC6A
hsa-miR-20a-5p,TAOK2
hsa-miR-20a-5p,CHD9
hsa-miR-20a-5p,RBL2
hsa-miR-20a-5p,NFAT5
hsa-miR-20a-5p,ATXN1L
hsa-miR-20a-5p,CRK
hsa-miR-20a-5p,ANKFY1
hsa-miR-20a-5p,ZBTB4
hsa-miR-20a-5p,RASD1
hsa-miR-20a-5p,NUFIP2
hsa-miR-20a-5p,SSH2
hsa-miR-20a-5p,STAT3
hsa-miR-20a-5p,EZH1
hsa-miR-20a-5p,ZNF652
hsa-miR-20a-5p,TRIM37
hsa-miR-20a-5p,DDX5
hsa-miR-20a-5p,JPT1
hsa-miR-20a-5p,TIMP2
hsa-miR-20a-5p,PAFAH1B1
hsa-miR-20a-5p,MINK1
hsa-miR-20a-5p,KDM6B
hsa-miR-20a-5p,LASP1
hsa-miR-20a-5p,MSL1
hsa-miR-20a-5p,MAP3K3
hsa-miR-20a-5p,KPNA2
hsa-miR-20a-5p,UNK
hsa-miR-20a-5p,TNRC6C
hsa-miR-20a-5p,FOXK2
hsa-miR-20a-5p,YES1
hsa-miR-20a-5p,SLC39A6
hsa-miR-20a-5p,SMAD7
hsa-miR-20a-5p,TCF4
hsa-miR-20a-5p,TMX3
hsa-miR-20a-5p,RAB12
hsa-miR-20a-5p,NEDD4L
hsa-miR-20a-5p,MIER2
hsa-miR-20a-5p,MEX3D
hsa-miR-20a-5p,MKNK2
hsa-miR-20a-5p,ZBTB7A
hsa-miR-20a-5p,HAUS8
hsa-miR-20a-5p,STK11
hsa-miR-20a-5p,MIDN
hsa-miR-20a-5p,CHAF1A
hsa-miR-20a-5p,TRIP10
hsa-miR-20a-5p,ARHGEF18
hsa-miR-20a-5p,LDLR
hsa-miR-20a-5p,URI1
hsa-miR-20a-5p,GRAMD1A
hsa-miR-20a-5p,KMT2B
hsa-miR-20a-5p,ROCK2
hsa-miR-20a-5p,LAPTM4A
hsa-miR-20a-5p,COX7A2L
hsa-miR-20a-5p,SERTAD2
hsa-miR-20a-5p,PPP3R1
hsa-miR-20a-5p,TGOLN2
hsa-miR-20a-5p,DUSP2
hsa-miR-20a-5p,TMEM127
hsa-miR-20a-5p,MAP3K2
hsa-miR-20a-5p,SLC40A1
hsa-miR-20a-5p,STK17B
hsa-miR-20a-5p,EPHA4
hsa-miR-20a-5p,KLF11
hsa-miR-20a-5p,RRM2
hsa-miR-20a-5p,UBXN2A
hsa-miR-20a-5p,NRBP1
hsa-miR-20a-5p,CLIP4
hsa-miR-20a-5p,CRIM1
hsa-miR-20a-5p,EPAS1
hsa-miR-20a-5p,TET3
hsa-miR-20a-5p,TCF7L1
hsa-miR-20a-5p,SOWAHC
hsa-miR-20a-5p,PTPN4
hsa-miR-20a-5p,GPD2
hsa-miR-20a-5p,TANC1
hsa-miR-20a-5p,CSRNP3
hsa-miR-20a-5p,CYBRD1
hsa-miR-20a-5p,CDCA7
hsa-miR-20a-5p,PLEKHA3
hsa-miR-20a-5p,NABP1
hsa-miR-20a-5p,C2orf69
hsa-miR-20a-5p,BMPR2
hsa-miR-20a-5p,SEPTIN2
hsa-miR-20a-5p,TBC1D20
hsa-miR-20a-5p,PLAGL2
hsa-miR-20a-5p,E2F1
hsa-miR-20a-5p,RBL1
hsa-miR-20a-5p,PREX1
hsa-miR-20a-5p,ZNFX1
hsa-miR-20a-5p,ZNF217
hsa-miR-20a-5p,ZNF512B
hsa-miR-20a-5p,POFUT1
hsa-miR-20a-5p,KIF3B
hsa-miR-20a-5p,MAPRE1
hsa-miR-20a-5p,ITCH
hsa-miR-20a-5p,TTPAL
hsa-miR-20a-5p,CTSA
hsa-miR-20a-5p,NCOA3
hsa-miR-20a-5p,PARD6B
hsa-miR-20a-5p,BTG3
hsa-miR-20a-5p,APP
hsa-miR-20a-5p,RUNX1
hsa-miR-20a-5p,BRWD1
hsa-miR-20a-5p,C2CD2
hsa-miR-20a-5p,SIK1
hsa-miR-20a-5p,DYRK1A
hsa-miR-20a-5p,PRR14L
hsa-miR-20a-5p,ATP2B2
hsa-miR-20a-5p,IQSEC1
hsa-miR-20a-5p,NKIRAS1
hsa-miR-20a-5p,FYCO1
hsa-miR-20a-5p,TUSC2
hsa-miR-20a-5p,RYBP
hsa-miR-20a-5p,DCBLD2
hsa-miR-20a-5p,POLQ
hsa-miR-20a-5p,HEG1
hsa-miR-20a-5p,ZNF148
hsa-miR-20a-5p,XRN1
hsa-miR-20a-5p,PLSCR4
hsa-miR-20a-5p,PFN2
hsa-miR-20a-5p,KPNA4
hsa-miR-20a-5p,NCEH1
hsa-miR-20a-5p,NR2C2
hsa-miR-20a-5p,TGFBR2
hsa-miR-20a-5p,ZBTB47
hsa-miR-20a-5p,ABHD5
hsa-miR-20a-5p,NBEAL2
hsa-miR-20a-5p,C3orf38
hsa-miR-20a-5p,CRYBG3
hsa-miR-20a-5p,CEP97
hsa-miR-20a-5p,BBX
hsa-miR-20a-5p,PLXNA1
hsa-miR-20a-5p,SLC25A36
hsa-miR-20a-5p,PXYLP1
hsa-miR-20a-5p,PLS1
hsa-miR-20a-5p,U2SURP
hsa-miR-20a-5p,TSC22D2
hsa-miR-20a-5p,FXR1
hsa-miR-20a-5p,IL1RAP
hsa-miR-20a-5p,FBXL5
hsa-miR-20a-5p,PDS5A
hsa-miR-20a-5p,CLOCK
hsa-miR-20a-5p,CNOT6L
hsa-miR-20a-5p,WDFY3
hsa-miR-20a-5p,FAM13A
hsa-miR-20a-5p,TBC1D9
hsa-miR-20a-5p,OTUD4
hsa-miR-20a-5p,KLF3
hsa-miR-20a-5p,SLAIN2
hsa-miR-20a-5p,RASL11B
hsa-miR-20a-5p,CXCL8
hsa-miR-20a-5p,EREG
hsa-miR-20a-5p,CCNG2
hsa-miR-20a-5p,PKD2
hsa-miR-20a-5p,GAB1
hsa-miR-20a-5p,KLHL2
hsa-miR-20a-5p,MSMO1
hsa-miR-20a-5p,PALLD
hsa-miR-20a-5p,ANKH
hsa-miR-20a-5p,DAB2
hsa-miR-20a-5p,SGTB
hsa-miR-20a-5p,TMEM167A
hsa-miR-20a-5p,FEM1C
hsa-miR-20a-5p,CEP120
hsa-miR-20a-5p,SAR1B
hsa-miR-20a-5p,RNF145
hsa-miR-20a-5p,PANK3
hsa-miR-20a-5p,AHRR
hsa-miR-20a-5p,PDCD6-AHRR
hsa-miR-20a-5p,MARCHF6
hsa-miR-20a-5p,MAP3K1
hsa-miR-20a-5p,FCHO2
hsa-miR-20a-5p,POLR3G
hsa-miR-20a-5p,RGMB
hsa-miR-20a-5p,SMAD5
hsa-miR-20a-5p,PURA
hsa-miR-20a-5p,NPM1
hsa-miR-20a-5p,CREBRF
hsa-miR-20a-5p,SQSTM1
hsa-miR-20a-5p,SLC22A23
hsa-miR-20a-5p,STK38
hsa-miR-20a-5p,ENPP5
hsa-miR-20a-5p,TNFRSF21
hsa-miR-20a-5p,PHIP
hsa-miR-20a-5p,RRAGD
hsa-miR-20a-5p,OSTM1
hsa-miR-20a-5p,REV3L
hsa-miR-20a-5p,MAP7
hsa-miR-20a-5p,SOX4
hsa-miR-20a-5p,CDKN1A
hsa-miR-20a-5p,VEGFA
hsa-miR-20a-5p,CENPQ
hsa-miR-20a-5p,SOBP
hsa-miR-20a-5p,ASF1A
hsa-miR-20a-5p,GJA1
hsa-miR-20a-5p,HECA
hsa-miR-20a-5p,SASH1
hsa-miR-20a-5p,SNX9
hsa-miR-20a-5p,QKI
hsa-miR-20a-5p,C6orf120
hsa-miR-20a-5p,PURB
hsa-miR-20a-5p,PON2
hsa-miR-20a-5p,MAP11
hsa-miR-20a-5p,GIGYF1
hsa-miR-20a-5p,CCDC71L
hsa-miR-20a-5p,BMT2
hsa-miR-20a-5p,FAM3C
hsa-miR-20a-5p,ZNF800
hsa-miR-20a-5p,MKRN1
hsa-miR-20a-5p,FASTK
hsa-miR-20a-5p,ARL4A
hsa-miR-20a-5p,ITGB8
hsa-miR-20a-5p,LIMK1
hsa-miR-20a-5p,PHTF2
hsa-miR-20a-5p,CROT
hsa-miR-20a-5p,ANKIB1
hsa-miR-20a-5p,AGFG2
hsa-miR-20a-5p,HBP1
hsa-miR-20a-5p,DNAJB9
hsa-miR-20a-5p,CALD1
hsa-miR-20a-5p,UBE3C
hsa-miR-20a-5p,PPP1R3B
hsa-miR-20a-5p,RAB11FIP1
